"N","P","K","temperature","humidity","ph","rainfall","label"
0.642857142857143,0.264285714285714,0.19,0.345886135173065,0.790266831525676,0.466263637157849,0.656457782061274,"rice"
0.607142857142857,0.378571428571429,0.18,0.371444890521647,0.770632850772957,0.549480263466121,0.74167459254008,"rice"
0.428571428571429,0.357142857142857,0.195,0.406853897512738,0.793976635987273,0.674218765720401,0.875710390410195,"rice"
0.528571428571429,0.214285714285714,0.175,0.506901397602566,0.768751443603734,0.540507880946339,0.799905466489274,"rice"
0.557142857142857,0.264285714285714,0.185,0.324377590036907,0.785625516138532,0.64129137694205,0.871230734396291,"rice"
0.492857142857143,0.228571428571429,0.185,0.40839162633333,0.806217744954349,0.554978751992327,0.829332444898264,"rice"
0.492857142857143,0.357142857142857,0.165,0.398371179829312,0.797693817276927,0.34151443111233,0.902154231651883,"rice"
0.671428571428571,0.342857142857143,0.175,0.328612010965834,0.800664662508419,0.34428590235491,0.796708617284026,"rice"
0.635714285714286,0.35,0.165,0.450223463941242,0.808143680462121,0.494623129334224,0.75529310937459,"rice"
0.492857142857143,0.321428571428571,0.185,0.40839162633333,0.806217744954349,0.554978751992327,0.829332444898264,"rice"
0.485714285714286,0.378571428571429,0.165,0.413152774255188,0.80228779005576,0.440334711460076,0.722107988979788,"rice"
0.65,0.342857142857143,0.175,0.507938383783777,0.783440191515834,0.292584208215022,0.878047824532627,"rice"
0.642857142857143,0.292857142857143,0.185,0.43481740112332,0.783826052688949,0.621752913665003,0.825841263957889,"rice"
0.557142857142857,0.378571428571429,0.195,0.515788092141102,0.777249495164333,0.249431580149669,0.949259137235603,"rice"
0.664285714285714,0.364285714285714,0.155,0.435850234341702,0.790898249721587,0.541122584985891,0.593018693672381,"rice"
0.671428571428571,0.321428571428571,0.16,0.483221380313019,0.774648144362909,0.535472208963753,0.680353819710731,"rice"
0.428571428571429,0.307142857142857,0.17,0.443515064260247,0.770406680190078,0.550133838399214,0.75759273734119,"rice"
0.557142857142857,0.321428571428571,0.195,0.515788092141102,0.777249495164333,0.249431580149669,0.949259137235603,"rice"
0.607142857142857,0.235714285714286,0.18,0.366183918473087,0.799431453698755,0.426773548211961,0.921304249693724,"rice"
0.65,0.214285714285714,0.17,0.429507112318358,0.771782303414928,0.539024109738239,0.668405556588245,"rice"
0.55,0.235714285714286,0.155,0.374164867686819,0.769147344691511,0.380879014999574,0.73412823299962,"rice"
0.628571428571429,0.214285714285714,0.175,0.423352609355878,0.808754792403936,0.365327547949072,0.973912391952698,"rice"
0.635714285714286,0.285714285714286,0.155,0.358663759036204,0.772442381084201,0.456853569897712,0.593809551259816,"rice"
0.65,0.321428571428571,0.17,0.429507112318358,0.771782303414928,0.539024109738239,0.668405556588245,"rice"
0.542857142857143,0.25,0.19,0.468633162505092,0.803266605910481,0.243443385359767,0.758663270235318,"rice"
0.478571428571429,0.385714285714286,0.18,0.37652972793598,0.778264308941414,0.390007510453863,0.693894817992541,"rice"
0.592857142857143,0.257142857142857,0.19,0.350844318555479,0.798148547626477,0.427547659102861,0.764854297429482,"rice"
0.7,0.3,0.16,0.420608755165216,0.782449945001411,0.601948184774977,0.732343061262979,"rice"
0.478571428571429,0.321428571428571,0.18,0.37652972793598,0.778264308941414,0.390007510453863,0.693894817992541,"rice"
0.471428571428571,0.342857142857143,0.18,0.466285376663458,0.773015471629115,0.664687076089962,0.850704499064677,"rice"
0.692857142857143,0.385714285714286,0.19,0.50311874488265,0.814079247657374,0.432597428321726,0.90227549423298,"rice"
0.692857142857143,0.321428571428571,0.18,0.450606425765697,0.773261544144475,0.554590979555064,0.862414682525642,"rice"
0.428571428571429,0.314285714285714,0.195,0.342902411152183,0.819371918868932,0.42611896913265,0.789907331057063,"rice"
0.6,0.328571428571429,0.15,0.386684929231513,0.774418502400153,0.394777447277667,0.638651296784019,"rice"
0.521428571428571,0.371428571428571,0.18,0.362150089981653,0.824574855062308,0.360783002839706,0.905304451241099,"rice"
0.657142857142857,0.214285714285714,0.175,0.383176865317663,0.770768497408892,0.443621605497784,0.646228684654573,"rice"
0.607142857142857,0.228571428571429,0.17,0.450566557839045,0.798830511040522,0.444670633023803,0.73456188379425,"rice"
0.7,0.342857142857143,0.165,0.328305910087298,0.786023063676191,0.23478623648227,0.898981475594494,"rice"
